高級中等學校校別概況,,,,,,,,,,,,,,,,,
201310,私立嘉華高中,57,35,22,7,5,2,11,7,4,18,737,471,266,185,110,75
201312,私立輔仁高中,78,45,33, -, -, -,19,5,14,20,880,523,357,203,126,77
201313,私立宏仁女中,35,11,24, -, -, -,11,3,8,9,382, -,382,148, -,148
201314,私立立仁高中,18,8,10, -, -, -,12,3,9,8,346,162,184,143,49,94
210303,國立臺南二中,132,57,75, -, -, -,22,3,19,57,"2,175","1,664",511,731,712,19
210305,國立臺南一中,153,92,61,15,10,5,26,6,20,64,"2,307","2,239",68,834,803,31
210306,國立臺南女中,131,42,89,77,16,61,23,6,17,57,"2,184",10,"2,174",765,4,761
210309,國立家齊高中,123,37,86,13,7,6,23,6,17,54,"1,921",156,"1,765",655, -,655
211301,私立長榮高中,232,111,121,38,16,22,60,37,23,111,"4,892","2,803","2,089","1,294",749,545
211302,私立長榮女中,46,9,37,50,12,38,27,8,19,36,"1,497",132,"1,365",400, -,400
211304,財團法人聖功女中,101,32,69,2, -,2,30,2,28,21,974, -,974,296, -,296
211310,臺南市光華高中,78,17,61, -, -, -,16,2,14,39,"1,721",461,"1,260",468,43,425
211314,私立六信高中,31,15,16,41,21,20,7,3,4,30,839,467,372,271,158,113
211315,私立瀛海高中,81,40,41, -, -, -,14,3,11,23,"1,082",692,390,266,166,100
211317,私立崑山高中,48,23,25,69,44,25,20,2,18,35,833,519,314,748,471,277
211318,私立德光高中,115,37,78,3, -,3,30,3,27,27,"1,210",535,675,507,139,368
211320,財團法人慈濟高中,95,34,61,7,3,4,22,6,16,16,523,266,257,151,78,73
213303,市立南寧高中,75,30,45, -, -, -,9,2,7,12,406,195,211,149,79,70
213316,市立土城高中,54,17,37,19,6,13,12,2,10,9,281,116,165,90,37,53
313301,市立西松高中,132,49,83, -, -, -,23,9,14,33,"1,048",624,424,400,176,224
313302,市立中崙高中,144,39,105,6,2,4,25,5,20,30,"1,096",579,517,384,167,217
321399,臺北市私立協和祐德高級中學,103,55,48,54,30,24,35,13,22,61,"1,894","1,452",442,793,592,201
323301,市立松山高中,160,65,95,14,5,9,27,7,20,63,"2,306","1,176","1,130",814,411,403
323302,市立永春高中,125,46,79,9,1,8,22,2,20,48,"1,641",796,845,573,245,328
330301,國立師大附中,227,86,141,122,45,77,49,10,39,80,"3,085","2,036","1,049","1,013",679,334
331301,私立延平中學,126,59,67, -, -, -,22,8,14,30,"1,476",897,579,473,303,170
331302,私立金甌女中,120,34,86,24,14,10,14,6,8,47,"1,780", -,"1,780",756, -,756
331304,私立復興實驗高中,75,30,45, -, -, -,18,7,11,9,430,209,221,127,58,69
333301,市立和平高中,160,45,115, -, -, -,26,6,20,42,"1,458",903,555,518,313,205
341301,私立中興中學,13,10,3,24,10,14,15,6,9,6,210,113,97,107,71,36
341302,私立大同高中,56,29,27,35,22,13,16,8,8,27,"1,339",827,512,413,280,133
343301,市立中山女中,178,56,122,11,2,9,26,6,20,69,"2,546", -,"2,546",871, -,871
343302,市立大同高中,175,46,129, -, -, -,27,4,23,48,"1,759",847,912,625,295,330
343303,市立大直高中,149,53,96, -, -, -,26,7,19,30,"1,030",558,472,370,167,203
351301,私立強恕中學,29,13,16,19,6,13,14,6,8,33,961,451,510,226,119,107
353301,市立建國中學,227,116,111,8,2,6,34,5,29,88,"3,344","3,344", -,"1,179","1,179", -
353302,市立成功中學,174,76,98, -, -, -,25,6,19,69,"2,619","2,619", -,896,896, -
353303,市立北一女中,184,60,124,23,8,15,26,4,22,72,"2,741", -,"2,741",988, -,988
361301,私立靜修女中,104,21,83, -, -, -,14,4,10,36,"1,541", -,"1,541",459, -,459
363301,市立明倫高中,125,47,78,17,5,12,23,7,16,48,"1,591",778,813,582,246,336
363302,市立成淵高中,162,50,112, -, -, -,24,5,19,36,"1,269",713,556,453,239,214
371301,私立立人高中,8,5,3,6,2,4,8,2,6,3,60,46,14,17,11,6
373301,市立華江高中,117,44,73,11,1,10,23,6,17,48,"1,726",824,902,580,249,331
373302,市立大理高中,116,50,66, -, -, -,24,6,18,27,921,439,482,330,157,173
380301,國立政大附中,80,27,53, -, -, -,20,4,16,18,668,324,344,220,122,98
381301,私立東山高中,148,63,85, -, -, -,31,6,25,39,"1,895","1,130",765,623,398,225
381302,私立滬江高中,78,30,48,41,27,14,23,5,18,43,"1,529",990,539,534,320,214
381303,私立大誠高中,24,15,9,19,10,9,5,2,3,17,210,116,94,161,94,67
381304,私立再興中學,99,40,59, -, -, -,25,10,15,18,897,507,390,288,161,127
381305,私立景文高中,134,61,73, -, -, -,31,7,24,59,"2,490","1,464","1,026",697,428,269
383301,市立景美女中,155,40,115,8,4,4,28,7,21,60,"2,167", -,"2,167",772, -,772
383302,市立萬芳高中,167,51,116,13,4,9,27,4,23,33,"1,172",570,602,328,136,192
393301,市立南港高中,153,44,109, -, -, -,26,5,21,30,"1,002",464,538,339,155,184
393302,市立育成高中,148,54,94, -, -, -,26,10,16,60,"1,999","1,006",993,647,304,343
401301,私立文德女中,23,2,21,8,3,5,9,2,7,10,365, -,365,172, -,172
401302,私立方濟中學,46,25,21,7,3,4,10,4,6,13,562,414,148,165,124,41
401303,私立達人女中,59,9,50,19,6,13,16,2,14,9,414, -,414,138, -,138
403301,市立內湖高中,153,57,96,13,2,11,25,5,20,63,"2,154","1,089","1,065",783,385,398
403302,市立麗山高中,84,31,53, -, -, -,16,7,9,33,907,507,400,315,204,111
403303,市立南湖高中,110,40,70,3,1,2,24,7,17,48,"1,650",829,821,600,294,306
411301,私立泰北高中,104,50,54,29,13,16,21,9,12,56,"1,898","1,066",832,662,332,330
411302,私立衛理女中,74,15,59,18,6,12,24,2,22,15,566, -,566,180, -,180
411303,私立華興中學,62,30,32, -, -, -,11,7,4,6,277,147,130,93,57,36
413301,市立陽明高中,148,45,103,13,5,8,21,4,17,39,"1,318",642,676,493,242,251
413302,市立百齡高中,171,51,120,12,2,10,27,7,20,25,883,446,437,279,129,150
421301,私立薇閣高中,128,54,74, -, -, -,16,6,10,21,990,483,507,328,156,172
421302,私立十信高中,34,8,26,18,8,10,6, -,6,19,706,363,343,287,149,138
421303,臺北市私立奎山實驗高級中學,23,11,12, -, -, -,8,3,5,2,61,29,32, -, -, -
423301,市立復興高中,186,73,113,12,3,9,30,7,23,72,"2,382","1,075","1,307",648,269,379
423302,市立中正高中,179,68,111,8,1,7,25,10,15,69,"2,281","1,236","1,045",764,348,416
521301,私立明誠高中,79,38,41,12,4,8,25,7,18,21,901,473,428,196,109,87
521303,私立大榮高中,59,40,19,33,18,15,17,8,9,38,"1,167","1,082",85,337,308,29
523301,市立鼓山高中,112,34,78, -, -, -,17,5,12,27,783,387,396,228,118,110
533301,市立左營高中,124,40,84,29,10,19,17,2,15,54,"1,866",816,"1,050",588,284,304
533302,市立新莊高中,111,34,77,10,2,8,15,2,13,45,"1,676",883,793,563,250,313
540301,國立中山大學附屬國光高中,82,31,51,15,8,7,17,7,10,18,666,313,353,246,122,124
543301,市立中山高中,99,30,69,8,4,4,16,2,14,42,"1,553",717,836,530,249,281
543302,市立楠梓高中,78,31,47,3,2,1,11,3,8,30,"1,030",485,545,311,141,170
551301,私立立志高中,204,118,86,78,48,30,42,16,26,128,"4,572","3,198","1,374","1,769","1,204",565
553301,市立高雄中學,170,90,80,84,25,59,22,5,17,72,"2,834","2,734",100,909,878,31
553302,市立三民高中,81,28,53,4,1,3,16,4,12,36,"1,302",668,634,449,219,230
563301,市立新興高中,105,38,67,5,2,3,15,3,12,18,638,294,344,233,93,140
573301,市立高雄女中,146,47,99,7,3,4,18,3,15,63,"2,535", -,"2,535",842, -,842
580301,國立高師大附中,85,24,61,10,4,6,18,1,17,24,841,548,293,274,164,110
581301,私立復華高中,91,37,54,5,2,3,15,4,11,50,"1,895",823,"1,072",602,244,358
581302,天主教道明中學,185,77,108,10,3,7,37,6,31,50,"2,469","1,211","1,258",701,357,344
583301,市立中正高中,153,45,108,9,3,6,19,6,13,33,"1,192",608,584,412,197,215
593301,市立前鎮高中,112,50,62,8,2,6,17,4,13,45,"1,652",764,888,527,252,275
593302,市立瑞祥高中,195,60,135,9,2,7,21,7,14,27,922,515,407,333,171,162
613301,市立小港高中,109,41,68,13,7,6,15,6,9,45,"1,632",758,874,483,240,243
710301,國立金門高中,76,44,32, -, -, -,19,8,11,30,"1,009",478,531,293,133,160
720301,國立馬祖高中,33,15,18,3, -,3,16,8,8,12,324,191,133,84,52,32
011405,私立樹人家商,131,31,100,34,13,21,24,4,20,71,"3,078",795,"2,283",970,201,769
011407,私立復興商工,125,69,56,58,28,30,32,7,25,92,"4,428","1,591","2,837","1,408",492,916
011408,私立南強工商,84,44,40,38,21,17,24,11,13,54,"1,931","1,143",788,626,385,241
011413,私立穀保家商,110,34,76,35,26,9,19,3,16,58,"2,611","1,240","1,371",828,347,481
011419,私立開明工商,65,29,36,52,33,19,16,6,10,46,"1,472",959,513,785,487,298
011420,私立智光商工,113,46,67,52,23,29,32,7,25,69,"2,724","1,777",947,905,612,293
011421,私立清傳高商,31,7,24,7,2,5,11,4,7,14,519,237,282,171,65,106
011426,私立能仁家商,124,40,84,96,52,44,19,3,16,95,"3,668","1,486","2,182","1,337",504,833
011427,私立豫章工商,76,36,40,45,26,19,22,5,17,55,"2,097","1,499",598,671,453,218
011431,私立莊敬工家,187,92,95,89,42,47,94,42,52,112,"4,899","2,122","2,777",930,422,508
011432,私立中華商海,18,15,3,7,6,1,3,1,2,12,265,232,33,92,78,14
013402,市立瑞芳高工,136,76,60,62,40,22,34,21,13,60,"1,630","1,274",356,526,433,93
013430,市立三重商工,173,85,88,127,76,51,40,15,25,87,"2,814","1,885",929,842,532,310
013433,市立新北高工,196,111,85,81,59,22,35,13,22,92,"3,123","2,530",593,909,730,179
013434,市立淡水商工,180,76,104,12,7,5,35,14,21,89,"2,780","1,620","1,160",882,461,421
014439,市立鶯歌工商,161,65,96,31,21,10,24,8,16,63,"2,077",914,"1,163",620,214,406
020403,國立宜蘭高商,126,43,83,16,10,6,24,10,14,51,"1,762",846,916,603,286,317
020404,國立羅東高商,110,51,59,33,20,13,22,4,18,50,"1,612",750,862,488,182,306
020405,國立蘇澳海事,94,51,43,9,4,5,30,15,15,41,"1,013",785,228,343,232,111
020407,國立羅東高工,124,88,36,39,31,8,34,14,20,45,"1,624","1,511",113,532,487,45
020409,國立頭城家商,112,43,69,48,21,27,22,7,15,52,"1,395",648,747,379,134,245
030403,國立北科大附屬桃園農工,174,98,76,65,51,14,42,24,18,84,"2,824","2,407",417,828,684,144
030407,國立中壢高商,152,43,109,9,5,4,25,6,19,60,"2,068",845,"1,223",725,258,467
030408,國立中壢家商,74,15,59,24,3,21,21,5,16,31,"1,015", -,"1,015",362, -,362
031414,私立成功工商,91,51,40,34,22,12,35,9,26,57,"2,120","1,419",701,823,540,283
031415,私立方曙商工,41,22,19, -, -, -,10,6,4,19,577,443,134,150,111,39
031421,私立永平工商,188,72,116,49,27,22,44,18,26,130,"6,259","3,438","2,821","1,991","1,088",903
041401,私立內思高工,72,47,25,26,20,6,18,5,13,37,"1,596","1,299",297,409,330,79
050401,國立大湖農工,85,55,30, -, -, -,27,15,12,31,953,669,284,366,255,111
050404,國立苗栗農工,149,82,67, -, -, -,37,18,19,54,"1,977","1,465",512,618,404,214
050407,國立苗栗高商,80,34,46,13,5,8,18,6,12,39,"1,214",362,852,372,95,277
051408,私立中興商工,67,32,35,38,18,20,19,8,11,45,"1,474",924,550,480,260,220
051411,私立育民工家,33,19,14,22,13,9,18,8,10,42,746,493,253,253,156,97
051412,私立賢德工商,6,5,1,6,5,1, -, -, -,9,140,119,21,51,46,5
051413,私立龍德家商,34,18,16, -, -, -,11,5,6,27,621,284,337,251,125,126
060401,國立豐原高商,152,43,109,30,10,20,27,6,21,64,"1,892",649,"1,243",676,202,474
060402,國立大甲高工,119,78,41,57,46,11,29,12,17,48,"1,381","1,143",238,469,388,81
060404,國立東勢高工,158,101,57,24,17,7,38,20,18,63,"2,024","1,613",411,670,506,164
060407,國立沙鹿高工,158,92,66,60,49,11,39,19,20,72,"2,344","1,758",586,717,531,186
060408,國立霧峰農工,118,68,50,58,38,20,29,10,19,50,"1,590","1,298",292,520,413,107
070401,國立彰師附工,172,109,63,33,22,11,39,22,17,72,"2,555","2,207",348,786,679,107
070402,國立永靖高工,103,64,39,4,3,1,29,15,14,37,"1,358","1,124",234,430,355,75
070403,國立二林工商,130,62,68,37,22,15,23,12,11,57,"1,720","1,108",612,506,337,169
070405,國立秀水高工,122,74,48,113,85,28,29,11,18,61,"2,110","1,753",357,659,534,125
070406,國立彰化高商,164,48,116,23,5,18,25,8,17,71,"2,437",687,"1,750",861,222,639
070408,國立員林農工,127,52,75,23,11,12,33,14,19,54,"1,773","1,108",665,617,374,243
070409,國立員林崇實高工,103,64,39,20,11,9,30,14,16,43,"1,404","1,122",282,449,354,95
070410,國立員林家商,103,29,74,57,16,41,24,6,18,50,"1,639",247,"1,392",599,77,522
070415,國立北斗家商,110,41,69,22,4,18,18,4,14,56,"1,836",496,"1,340",578,130,448
071413,私立大慶商工,69,30,39,34,23,11,52,18,34,73,"2,443","1,599",844,784,501,283
071414,私立達德商工,190,84,106,62,35,27,37,12,25,136,"6,199","3,614","2,585","1,916","1,060",856
080401,國立仁愛高農,51,25,26, -, -, -,19,7,12,18,485,289,196,158,102,56
080403,國立埔里高工,104,67,37,8,6,2,29,12,17,39,"1,212",962,250,361,266,95
080404,國立南投高商,101,30,71,24,8,16,20,4,16,43,"1,194",481,713,425,169,256
080406,國立草屯商工,138,62,76,26,13,13,33,12,21,55,"1,629",802,827,572,306,266
080410,國立水里商工,76,33,43,14,8,6,22,11,11,36,"1,089",606,483,367,198,169
081409,私立同德家商,107,42,65,33,19,14,27,10,17,64,"2,551","1,325","1,226",671,339,332
090401,國立虎尾農工,101,57,44, -, -, -,29,17,12,43,"1,398","1,017",381,463,330,133
090402,國立西螺農工,128,66,62,26,17,9,28,15,13,50,"1,696","1,262",434,568,415,153
090403,國立斗六家商,77,30,47,40,17,23,23,3,20,33,"1,132",351,781,399,126,273
090404,國立北港農工,83,51,32, -, -, -,23,7,16,31,995,850,145,294,244,50
090413,國立土庫商工,87,41,46,7,6,1,23,6,17,32,"1,089",398,691,366,136,230
091410,私立大成商工,131,83,48,13,8,5,50,21,29,86,"3,361","2,200","1,161",972,602,370
091414,私立大德工商,54,34,20,10,7,3,12,4,8,30,794,469,325,337,183,154
100402,國立民雄農工,108,71,37,2,1,1,29,9,20,39,"1,166","1,005",161,399,339,60
101405,私立協志工商,116,70,46,65,35,30,26,11,15,90,"3,313","1,893","1,420","1,051",612,439
101406,私立萬能工商,71,45,26, -, -, -,27,17,10,43,"1,977","1,252",725,714,467,247
101407,私立弘德工商,14,12,2,7,6,1,4,1,3,10,200,122,78,67,41,26
110401,國立新化高工,93,49,44,20,12,8,25,11,14,39,"1,296","1,065",231,434,343,91
110403,國立白河商工,69,32,37, -, -, -,27,11,16,26,572,417,155,171,119,52
110404,國立北門農工,140,74,66,22,9,13,33,13,20,56,"1,720","1,207",513,575,379,196
110405,國立曾文家商,74,26,48,10,4,6,18,7,11,30,"1,009",211,798,386,77,309
110406,國立新營高工,114,74,40,3,3, -,31,14,17,46,"1,448","1,118",330,461,355,106
110407,國立玉井工商,78,43,35,3,3, -,21,10,11,33,897,601,296,296,194,102
110409,國立臺南高工,217,142,75,71,49,22,54,27,27,87,"2,794","2,456",338,969,858,111
110410,國立曾文農工,137,70,67,14,9,5,36,17,19,54,"1,640","1,141",499,560,372,188
111419,私立陽明工商,35,23,12,15,11,4,16,5,11,26,719,482,237,301,195,106
111427,私立育德工家,73,41,32,8,6,2,15,4,11,38,"1,243",644,599,421,235,186
120401,國立旗山農工,101,55,46, -, -, -,30,16,14,39,"1,215",926,289,389,293,96
120402,國立岡山農工,158,88,70,72,51,21,37,15,22,69,"2,157","1,582",575,707,489,218
120409,國立鳳山商工,154,73,81,11,6,5,35,13,22,77,"2,481","1,120","1,361",768,295,473
121405,私立中山工商,354,157,197,23,14,9,59,18,41,182,"9,736","6,061","3,675","2,995","1,963","1,032"
121410,私立旗美商工,10,8,2,17,12,5,4,2,2,11,212,156,56,103,69,34
121413,私立高英工商,101,56,45,30,17,13,35,11,24,66,"2,463","1,757",706,757,523,234
121415,私立華德工家,33,21,12,12,7,5,5,3,2,31,672,440,232,255,160,95
121417,私立高苑工商,100,51,49,64,41,23,34,11,23,72,"2,330","1,640",690,719,486,233
130401,國立內埔農工,100,56,44,1, -,1,28,14,14,37,"1,098",737,361,334,202,132
130403,國立屏東高工,174,99,75,30,19,11,38,21,17,70,"2,036","1,677",359,634,541,93
130404,國立佳冬高農,102,39,63,27,14,13,26,11,15,43,"1,295",785,510,449,242,207
130410,國立東港海事,93,43,50,7,6,1,27,11,16,39,"1,342",902,440,428,256,172
130417,國立恆春工商,96,44,52,25,9,16,19,8,11,39,998,537,461,267,137,130
131409,私立民生家商,52,20,32,74,29,45,22,4,18,44,"1,535",719,816,534,230,304
131416,私立華洲工家,14,8,6,24,12,12,13,5,8,15,260,178,82,118,74,44
131418,私立日新工商,24,9,15,37,18,19,11,2,9,23,491,328,163,211,132,79
140404,國立關山工商,53,29,24, -, -, -,21,7,14,19,291,182,109,83,49,34
140405,國立臺東高商,102,36,66,21,11,10,20,7,13,41,"1,035",354,681,359,142,217
140408,國立成功商水,35,19,16, -, -, -,15,4,11,12,241,160,81,87,54,33
141406,私立公東高工,70,38,32,5,3,2,28,9,19,39,"1,451",927,524,375,244,131
150401,國立花蓮高農,91,41,50, -, -, -,29,11,18,35,822,444,378,290,150,140
150404,國立花蓮高工,150,93,57,19,10,9,38,18,20,55,"1,509","1,254",255,455,386,69
150405,國立花蓮高商,93,33,60,24,7,17,19,4,15,39,"1,155",408,747,393,142,251
150411,國立光復商工,44,22,22,5,1,4,18,7,11,17,315,175,140,94,49,45
151410,花蓮縣上騰工商,35,19,16,20,11,9,12,6,6,27,519,313,206,129,86,43
160401,國立澎湖海事水產,108,57,51,7,6,1,34,16,18,46,"1,310",843,467,351,195,156
170403,國立基隆海事,116,56,60,9,3,6,32,13,19,48,"1,347",890,457,382,207,175
170404,國立基隆商工,157,71,86,27,9,18,30,9,21,67,"2,020","1,013","1,007",682,294,388
171405,私立光隆家商,44,18,26,43,24,19,8,3,5,36,"1,244",423,821,258,85,173
171407,私立培德工家,23,10,13,3,2,1,6,2,4,18,474,333,141,192,110,82
180403,國立新竹高商,104,25,79,38,13,25,22,6,16,48,"1,806",626,"1,180",577,173,404
180404,國立新竹高工,133,69,64,22,9,13,31,8,23,51,"1,705","1,298",407,580,425,155
190404,國立臺中家商,171,52,119,11,5,6,25,9,16,83,"2,511",550,"1,961",874,138,736
190406,國立興大附農,161,52,109,80,32,48,37,16,21,84,"2,677","1,312","1,365",932,461,471
190407,國立臺中高工,258,158,100,92,73,19,59,28,31,110,"3,735","3,227",508,"1,255","1,083",172
191412,財團法人光華高工,80,47,33,25,14,11,29,13,16,50,"1,863","1,606",257,700,610,90
200401,國立華南高商,108,36,72,3,1,2,21,5,16,42,"1,483",563,920,527,164,363
200405,國立嘉義高工,223,152,71,27,17,10,44,21,23,96,"2,973","2,247",726,991,772,219
200406,國立嘉義高商,111,43,68,15,6,9,21,1,20,45,"1,547",472,"1,075",555,164,391
200407,國立嘉義家職,98,17,81,10,1,9,20,7,13,42,"1,234",139,"1,095",418, -,418
201408,私立東吳工家,118,55,63,54,15,39,32,16,16,84,"3,574","1,595","1,979","1,045",485,560
210408,國立臺南高商,151,50,101,26,7,19,22,6,16,66,"2,068",614,"1,454",730,156,574
210416,國立臺南海事,74,44,30,30,15,15,21,12,9,34,"1,177",843,334,365,260,105
211407,私立南英商工,89,40,49,100,56,44,33,10,23,65,"2,507","1,730",777,705,490,215
211412,私立亞洲餐旅,39,18,21,24,12,12,10,4,6,30,"1,282",724,558,380,206,174
211419,私立慈幼工商,68,44,24,35,26,9,26,13,13,45,"1,720","1,403",317,548,457,91
311401,私立育達家商,172,48,124,189,94,95,19,1,18,146,"7,203","3,067","4,136","1,769",719,"1,050"
323401,市立松山家商,143,41,102,12,8,4,22,3,19,66,"2,107",663,"1,444",900,268,632
323402,市立松山工農,206,111,95,14,6,8,43,15,28,70,"2,520","2,051",469,806,637,169
331402,私立東方工商,35,11,24,5,1,4,6,1,5,18,475,189,286,250,102,148
331403,私立喬治工商,32,12,20,14,7,7,10,6,4,22,565,196,369,180,59,121
331404,私立開平餐飲,67,32,35, -, -, -,11,1,10,35,"1,450",913,537,423,280,143
333401,市立大安高工,260,146,114,27,20,7,52,23,29,101,"3,481","3,000",481,"1,208","1,024",184
341402,私立稻江護家,72,15,57,36,10,26,22,6,16,45,"1,812", -,"1,812",617, -,617
351402,私立開南商工,71,34,37,42,30,12,25,10,15,50,"1,599","1,324",275,599,481,118
361401,私立稻江高商,79,30,49,30,19,11,21,6,15,42,"1,486",652,834,583,248,335
383401,市立木柵高工,170,95,75,5,4,1,41,19,22,57,"2,020","1,718",302,557,447,110
393401,市立南港高工,208,113,95,9,6,3,55,33,22,72,"2,409","2,112",297,912,809,103
403401,市立內湖高工,151,87,64, -, -, -,38,21,17,58,"1,980","1,672",308,586,496,90
411401,私立華岡藝校,32,10,22,166,74,92,7, -,7,18,843,210,633,245,64,181
413401,市立士林高商,198,62,136,5, -,5,27,8,19,84,"2,753",891,"1,862","1,081",274,807
421404,私立惇敘工商,53,36,17,8,4,4,12,7,5,31,"1,000",936,64,316,276,40
521401,私立中華藝校,56,28,28,80,27,53,27,10,17,33,"1,295",431,864,319,98,221
533401,市立海青工商,174,84,90,8,3,5,34,16,18,65,"2,298","1,169","1,129",751,351,400
533402,市立三民家商,145,44,101,5,1,4,21,1,20,57,"2,088",581,"1,507",638,119,519
551402,私立樹德家商,211,61,150,157,55,102,37,6,31,154,"6,539","2,195","4,344","2,198",737,"1,461"
553401,市立高雄高工,233,143,90,37,28,9,37,17,20,92,"3,247","2,808",439,"1,063",907,156
563401,市立高雄高商,150,42,108,20,5,15,19,4,15,67,"2,225",605,"1,620",751,202,549
581401,私立國際商工,14,7,7,12,9,3,6,2,4,7,173,139,34,92,70,22
581402,私立三信家商,134,42,92,154,67,87,26,5,21,112,"3,873","1,686","2,187","1,374",558,816
593401,市立中正高工,182,109,73,3,1,2,37,10,27,76,"2,495","2,141",354,809,661,148
610405,國立高餐大附屬餐旅中學,35,9,26, -, -, -,1,1, -,6,172,54,118, -, -, -
611401,私立高鳳工家,17,12,5,10,5,5,5, -,5,14,188,121,67,58,38,20
710401,國立金門農工,86,59,27,15,13,2,33,19,14,40,"1,103",678,425,264,131,133
351B09,私立南華高中進修學校,27,8,19,20,10,10,13,5,8,34,"1,106",573,533,334,170,164
361B09,私立志仁中學進修學校,19,8,11,56,24,32,8,1,7,42,"1,615",825,790,555,309,246
011C71,私立光華高商進修學校,11,4,7,20,8,12,8,3,5,16,623,355,268,241,132,109
210C01,國立成功大學附設高工進修學校,34,19,15,21,14,7,8,3,5,25,303,229,74,95,68,27
350C01,國立臺北商業大學附設高商進修學校, -, -, -, -, -, -, -, -, -, -, -, -, -,71,21,50
060F01,國立臺中啟明學校, -, -, -, -, -, -, -, -, -,1,14,8,6,16,6,10
070F01,國立和美實驗學校, -, -, -, -, -, -, -, -, -,12,408,163,245,145,66,79
543F01,市立楠梓特殊學校, -, -, -, -, -, -, -, -, -,3,35, -,35, -, -, -
030G92,國立桃園農工進校分校, -, -, -,2,2, -, -, -, -,6,145,145, -, -, -, -
031G91,私立宏德高商進修學校, -, -, -,15,10,5, -, -, -,3,94,94, -,25,25, -
070G92,國立二林工商進校分校, -, -, -,15,6,9, -, -, -,3,39,39, -,21,21, -
074G91,縣立田中高中附設進修部學校, -, -, -,8,5,3, -, -, -,6,187,130,57, -, -, -
111G91,私立樹德高中進修學校, -, -, -,14,13,1, -, -, -,3,79,79, -,33,33, -
151G91,私立正德高中進修學校, -, -, -,38,36,2, -, -, -,3,70,70, -,26,26, -
,,,,,,,,,,,,,,,,,
