the_geom,cartodb_id,ratio,old_population,people_total,household_no,village,site_id
,2,0.1809574848,1013,5598,2071,莊敬里,松山區
,3,0.1827892463,1523,8332,2975,東榮里,松山區
,4,0.1976290098,1417,7170,2922,三民里,松山區
,5,0.1780082988,858,4820,1845,新益里,松山區
,6,0.1776146789,968,5450,2133,富錦里,松山區
,7,0.1709302326,882,5160,1996,新東里,松山區
,8,0.1828713281,884,4834,2017,富泰里,松山區
,9,0.1749843391,838,4789,1750,介壽里,松山區
,10,0.1779274386,819,4603,1725,精忠里,松山區
,11,0.1985175202,1473,7420,3029,東光里,松山區
,12,0.1538254552,1715,11149,4248,龍田里,松山區
,13,0.1702923182,501,2942,1036,東昌里,松山區
,14,0.1826199183,849,4649,1816,東勢里,松山區
,15,0.1711912179,1154,6741,2516,中華里,松山區
,16,0.1978265691,1784,9018,3451,民有里,松山區
,17,0.1875469995,1247,6649,2660,民福里,松山區
,18,0.1551449896,1268,8173,4045,慈祐里,松山區
,19,0.1658169177,1431,8630,3537,安平里,松山區
,20,0.1522869023,879,5772,2153,鵬程里,松山區
,21,0.189892051,1935,10190,3752,自強里,松山區
,22,0.1728790304,1512,8746,3421,吉祥里,松山區
,23,0.1541586998,1290,8368,3336,新聚里,松山區
,24,0.1734121123,1174,6770,2572,復盛里,松山區
,25,0.1200519143,1295,10787,3922,中正里,松山區
,26,0.127896808,585,4574,1724,中崙里,松山區
,27,0.1562005277,592,3790,1344,美仁里,松山區
,28,0.158360503,680,4294,1567,吉仁里,松山區
,29,0.1526147279,1144,7496,2597,敦化里,松山區
,30,0.1428571429,493,3451,1255,復源里,松山區
,31,0.1412417763,687,4864,1829,復建里,松山區
,32,0.1632069795,1085,6648,2578,復勢里,松山區
,33,0.1757142857,492,2800,1004,福成里,松山區
,34,0.1830188679,679,3710,1455,松基里,松山區
,35,0.2103011354,1278,6077,2961,西村里,信義區
,36,0.1843233313,903,4899,1914,正和里,信義區
,37,0.2120911794,642,3027,1263,興隆里,信義區
,38,0.168332883,623,3701,1762,中興里,信義區
,39,0.1814907177,655,3609,1405,新仁里,信義區
,40,0.1961462451,1191,6072,2495,興雅里,信義區
,41,0.1656880734,903,5450,2316,敦厚里,信義區
,42,0.146506654,1233,8416,3158,廣居里,信義區
,43,0.137795627,1544,11205,4398,安康里,信義區
,44,0.1444942701,580,4014,1406,六藝里,信義區
,45,0.1483833718,771,5196,2092,雅祥里,信義區
,46,0.1555668531,612,3934,1478,五常里,信義區
,47,0.1696085955,884,5212,2025,五全里,信義區
,48,0.1275594257,542,4249,1438,永吉里,信義區
,49,0.1588289534,689,4338,1677,長春里,信義區
,50,0.1663516068,968,5819,2187,四育里,信義區
,51,0.1621132622,896,5527,2168,四維里,信義區
,52,0.1727606887,893,5169,1994,永春里,信義區
,53,0.1412047141,647,4582,1991,富台里,信義區
,54,0.1474390244,1209,8200,3002,國業里,信義區
,55,0.1578501904,373,2363,887,松隆里,信義區
,56,0.1499862145,1088,7254,2563,松友里,信義區
,57,0.2078431373,1060,5100,2086,松光里,信義區
,58,0.165777683,777,4687,1690,中坡里,信義區
,59,0.1428908555,1211,8475,2979,中行里,信義區
,60,0.1737555135,1103,6348,2402,大道里,信義區
,61,0.1998087954,836,4184,1655,大仁里,信義區
,62,0.1756179149,945,5381,2195,景新里,信義區
,63,0.1450648783,995,6859,2622,惠安里,信義區
,64,0.1838608621,1702,9257,3639,三張里,信義區
,65,0.1824522761,994,5448,2155,三犁里,信義區
,66,0.1677766756,1184,7057,2833,六合里,信義區
,67,0.1396925312,1154,8261,3140,泰和里,信義區
,68,0.1834517342,878,4786,1918,景聯里,信義區
,69,0.1838755304,780,4242,1686,景勤里,信義區
,70,0.1562625856,1164,7449,2927,雙和里,信義區
,71,0.1744256348,577,3308,1333,嘉興里,信義區
,72,0.1633548983,707,4328,1790,黎順里,信義區
,73,0.1627969762,1206,7408,3022,黎平里,信義區
,74,0.168667467,843,4998,1993,黎忠里,信義區
,75,0.2313364055,502,2170,965,黎安里,信義區
,76,0.1984579283,1184,5966,2348,德安里,大安區
,77,0.1516921491,883,5821,2025,仁慈里,大安區
,78,0.157731681,1171,7424,2500,和安里,大安區
,79,0.2031436056,1706,8398,3213,民炤里,大安區
,80,0.2294964029,1276,5560,2234,仁愛里,大安區
,81,0.2225178779,1338,6013,2539,義村里,大安區
,82,0.2112855325,1494,7071,2873,民輝里,大安區
,83,0.2551052466,812,3183,1208,昌隆里,大安區
,84,0.2128608308,907,4261,1822,誠安里,大安區
,85,0.1975979772,1563,7910,3259,光武里,大安區
,86,0.1916157782,1161,6059,2278,龍坡里,大安區
,87,0.1573254671,800,5085,2026,龍泉里,大安區
,88,0.183706439,796,4333,1790,古風里,大安區
,89,0.1728611975,1279,7399,3042,古莊里,大安區
,90,0.1765545119,1485,8411,3678,龍安里,大安區
,91,0.1522913131,987,6481,2367,錦安里,大安區
,92,0.1423410405,985,6920,2386,福住里,大安區
,93,0.1578551741,630,3991,1489,永康里,大安區
,94,0.1349019608,516,3825,1401,光明里,大安區
,95,0.1617913539,625,3863,1376,錦泰里,大安區
,96,0.1391204839,851,6117,2158,錦華里,大安區
,97,0.1883225987,1345,7142,2840,龍圖里,大安區
,98,0.1579818031,1146,7254,2633,新龍里,大安區
,99,0.2052889858,753,3668,1470,龍陣里,大安區
,100,0.1996059113,1013,5075,1911,龍雲里,大安區
,101,0.1513221653,1093,7223,2600,龍生里,大安區
,102,0.1853408883,1014,5471,2305,住安里,大安區
,103,0.1978715729,1097,5544,2190,義安里,大安區
,104,0.159586142,1018,6379,2594,通化里,大安區
,105,0.1727953694,1015,5874,2366,通安里,大安區
,106,0.1688221709,731,4330,1743,臨江里,大安區
,107,0.1809317443,835,4615,1877,法治里,大安區
,108,0.2102260259,958,4557,1830,全安里,大安區
,109,0.1990567572,1224,6149,2504,群賢里,大安區
,110,0.1688737201,1237,7325,3021,群英里,大安區
,111,0.1880829016,726,3860,1689,虎嘯里,大安區
,112,0.1891891892,399,2109,811,臥龍里,大安區
,113,0.1448029366,1499,10352,3527,龍淵里,大安區
,114,0.1808465156,846,4678,1639,龍門里,大安區
,115,0.1918408631,1707,8898,3543,大學里,大安區
,116,0.1830892144,1100,6008,2349,芳和里,大安區
,117,0.1483736302,853,5749,2077,黎元里,大安區
,118,0.1733333333,1352,7800,3046,黎孝里,大安區
,119,0.159327462,796,4996,2058,黎和里,大安區
,120,0.2031641906,1053,5183,2142,建安里,大安區
,121,0.2055547078,1347,6553,2440,建倫里,大安區
,122,0.1875555556,1266,6750,2506,敦安里,大安區
,123,0.1835257288,938,5111,1948,正聲里,大安區
,124,0.1886792453,1230,6519,2371,敦煌里,大安區
,125,0.189747004,855,4506,1752,華聲里,大安區
,126,0.2131741955,1411,6619,2489,車層里,大安區
,127,0.1776483436,1464,8241,3050,光信里,大安區
,128,0.2407017544,686,2850,1113,學府里,大安區
,129,0.1777301927,581,3269,1403,正守里,中山區
,130,0.1480177844,799,5398,2728,正義里,中山區
,131,0.1782047907,677,3799,1993,正得里,中山區
,132,0.2023206751,959,4740,2134,民安里,中山區
,133,0.1674712217,451,2693,1517,康樂里,中山區
,134,0.1469029229,970,6603,3564,中山里,中山區
,135,0.1506720113,639,4241,2357,聚盛里,中山區
,136,0.1454057679,1084,7455,3242,集英里,中山區
,137,0.1757055215,716,4075,1995,聚葉里,中山區
,138,0.1414460687,716,5062,2595,恆安里,中山區
,139,0.1625253083,883,5433,2848,晴光里,中山區
,140,0.1547699977,683,4413,1969,圓山里,中山區
,141,0.1918471338,753,3925,1441,劍潭里,中山區
,142,0.1570016968,1573,10019,3666,大直里,中山區
,143,0.1097782117,787,7169,3011,成功里,中山區
,144,0.1302208835,1297,9960,3839,永安里,中山區
,145,0.1595744681,180,1128,422,大佳里,中山區
,146,0.1397403534,775,5546,2148,新喜里,中山區
,147,0.1486079759,790,5316,2199,新庄里,中山區
,148,0.1588923992,855,5381,2234,新福里,中山區
,149,0.1687782146,1159,6867,2638,松江里,中山區
,150,0.1726844584,880,5096,2156,新生里,中山區
,151,0.18351214,975,5313,2307,中庄里,中山區
,152,0.175074184,1357,7751,3925,行政里,中山區
,153,0.1471548507,1262,8576,3064,行仁里,中山區
,154,0.1316891577,566,4298,1600,行孝里,中山區
,155,0.1543391873,1204,7801,2993,下埤里,中山區
,156,0.1651414309,1191,7212,2820,江寧里,中山區
,157,0.1885685124,1478,7838,3112,江山里,中山區
,158,0.1678832117,989,5891,2349,中吉里,中山區
,159,0.1725781846,905,5244,2242,中原里,中山區
,160,0.1812962963,979,5400,2438,興亞里,中山區
,161,0.1627967649,624,3833,1547,中央里,中山區
,162,0.155370844,972,6256,2523,朱馥里,中山區
,163,0.1741001565,890,5112,2115,龍洲里,中山區
,164,0.1644359465,774,4707,2207,朱園里,中山區
,165,0.1967814794,697,3542,1574,埤頭里,中山區
,166,0.1763085399,512,2904,1324,朱崙里,中山區
,167,0.1903441527,1167,6131,2694,力行里,中山區
,168,0.1732447029,834,4814,2117,復華里,中山區
,169,0.09811461176,791,8062,3444,金泰里,中山區
,170,0.1556653724,441,2833,1042,北安里,中山區
,171,0.2017458778,624,3093,1390,水源里,中正區
,172,0.1432391138,375,2618,1042,富水里,中正區
,173,0.2141666667,514,2400,1056,文盛里,中正區
,174,0.1681208768,790,4699,1991,林興里,中正區
,175,0.1998315435,949,4749,2004,河堤里,中正區
,176,0.1929490233,1215,6297,2827,頂東里,中正區
,177,0.1764510779,1064,6030,2544,網溪里,中正區
,178,0.1907349156,667,3497,1525,板溪里,中正區
,179,0.193443804,1074,5552,2381,螢圃里,中正區
,180,0.1785947357,821,4597,1829,螢雪里,中正區
,181,0.154221274,1012,6562,2537,永功里,中正區
,182,0.1857170209,970,5223,2069,永昌里,中正區
,183,0.1168947723,521,4457,1613,龍興里,中正區
,184,0.1747387016,1187,6793,3038,忠勤里,中正區
,185,0.1061800083,512,4822,1785,廈安里,中正區
,186,0.152173913,532,3496,1331,愛國里,中正區
,187,0.1718533887,497,2892,1060,南門里,中正區
,188,0.1423414131,552,3878,1384,龍光里,中正區
,189,0.1245589273,1412,11336,4462,南福里,中正區
,190,0.162556618,1292,7948,3470,龍福里,中正區
,191,0.1138589376,1151,10109,3572,新營里,中正區
,192,0.1141552511,200,1752,666,建國里,中正區
,193,0.1484298332,605,4076,1837,光復里,中正區
,194,0.1428970917,511,3576,1651,黎明里,中正區
,195,0.2050030506,672,3278,1427,梅花里,中正區
,196,0.1573520313,763,4849,1978,幸福里,中正區
,197,0.2087794433,975,4670,1966,幸市里,中正區
,198,0.1574497258,689,4376,1747,東門里,中正區
,199,0.1974160207,1146,5805,2290,文北里,中正區
,200,0.1394549763,1177,8440,3106,文祥里,中正區
,201,0.1880044843,1677,8920,3484,三愛里,中正區
,202,0.1761934673,561,3184,1284,玉泉里,大同區
,203,0.1747793908,614,3513,1515,建明里,大同區
,204,0.1660486197,806,4854,2026,建功里,大同區
,205,0.1494742113,597,3994,1631,建泰里,大同區
,206,0.1678520626,944,5624,2239,永樂里,大同區
,207,0.1602886508,733,4573,1998,朝陽里,大同區
,208,0.1264136328,816,6455,2610,星明里,大同區
,209,0.1517824329,826,5442,2005,光能里,大同區
,210,0.1625048022,846,5206,1923,大有里,大同區
,211,0.1603969536,695,4333,1835,延平里,大同區
,212,0.1355965272,1390,10251,3802,雙連里,大同區
,213,0.1613737944,686,4251,1631,南芳里,大同區
,214,0.1252840909,882,7040,2637,民權里,大同區
,215,0.1805364512,525,2908,1162,景星里,大同區
,216,0.170388498,557,3269,1210,隆和里,大同區
,217,0.1593075277,819,5141,2055,蓬萊里,大同區
,218,0.164495114,505,3070,1145,國順里,大同區
,219,0.1456098095,665,4567,1833,國慶里,大同區
,220,0.183873915,805,4378,2209,揚雅里,大同區
,221,0.1593062757,891,5593,2311,斯文里,大同區
,222,0.1707648212,1132,6629,2593,鄰江里,大同區
,223,0.1656734207,1390,8390,3340,至聖里,大同區
,224,0.1592120136,986,6193,2310,老師里,大同區
,225,0.1445955619,1010,6985,2559,重慶里,大同區
,226,0.183626272,794,4324,1693,保安里,大同區
,227,0.1769896194,1023,5780,2714,福星里,萬華區
,228,0.1883370536,675,3584,1899,萬壽里,萬華區
,229,0.1746514575,689,3945,2032,西門里,萬華區
,230,0.1834944238,1234,6725,3018,新起里,萬華區
,231,0.1710942441,1082,6324,2707,菜園里,萬華區
,232,0.1811569689,1071,5912,2622,青山里,萬華區
,233,0.1945935583,1015,5216,2250,富民里,萬華區
,234,0.1702965101,649,3811,1570,福音里,萬華區
,235,0.1852525253,917,4950,2150,仁德里,萬華區
,236,0.1798211204,1146,6373,3189,富福里,萬華區
,237,0.1584841776,1217,7679,3010,頂碩里,萬華區
,238,0.1496219658,752,5026,1928,雙園里,萬華區
,239,0.2381344307,868,3645,1564,新忠里,萬華區
,240,0.1816032425,1613,8882,3485,新和里,萬華區
,241,0.1757533531,1009,5741,2235,糖廍里,萬華區
,242,0.1724427054,1234,7156,2799,和平里,萬華區
,243,0.1771354053,815,4601,1767,綠堤里,萬華區
,244,0.1524838494,1369,8978,3278,華江里,萬華區
,245,0.1710337401,953,5572,2125,柳鄉里,萬華區
,246,0.1461163804,570,3901,1433,日善里,萬華區
,247,0.175621118,1131,6440,2641,新安里,萬華區
,248,0.1622149837,747,4605,1710,忠德里,萬華區
,249,0.1605113636,565,3520,1283,孝德里,萬華區
,250,0.1446607049,1100,7604,2774,和德里,萬華區
,251,0.1631597102,946,5798,2159,錦德里,萬華區
,252,0.1504065041,703,4674,1727,全德里,萬華區
,253,0.1588019214,562,3539,1292,保德里,萬華區
,254,0.1610204082,789,4900,1852,銘德里,萬華區
,255,0.1839872747,694,3772,1387,榮德里,萬華區
,256,0.1447009635,796,5501,1995,壽德里,萬華區
,257,0.152788536,789,5164,1794,興德里,萬華區
,258,0.1738931298,1139,6550,2416,華中里,萬華區
,259,0.1972125436,1132,5740,2434,日祥里,萬華區
,260,0.2355948869,1198,5085,2317,忠貞里,萬華區
,261,0.17563373,679,3866,1661,凌霄里,萬華區
,262,0.1722187304,548,3182,1319,騰雲里,萬華區
,263,0.1214423696,943,7765,3177,景行里,文山區
,264,0.1217673814,937,7695,2910,景東里,文山區
,265,0.1619184998,898,5546,2067,景美里,文山區
,266,0.1483438035,1039,7004,2544,景慶里,文山區
,267,0.1446354475,732,5061,1877,景仁里,文山區
,268,0.1539209332,950,6172,2262,景華里,文山區
,269,0.1382527566,815,5895,2203,萬有里,文山區
,270,0.1622017581,775,4778,1869,萬祥里,文山區
,271,0.1413537742,1088,7697,2896,萬隆里,文山區
,272,0.1731044349,968,5592,2261,萬年里,文山區
,273,0.2113986624,727,3439,1435,萬和里,文山區
,274,0.1803011803,886,4914,2046,萬盛里,文山區
,275,0.1447189263,744,5141,2050,興豐里,文山區
,276,0.1374130737,494,3595,1487,興光里,文山區
,277,0.1193363114,935,7835,2827,興家里,文山區
,278,0.1390041494,871,6266,2402,興得里,文山區
,279,0.1750492214,978,5587,2107,興業里,文山區
,280,0.1544585987,1067,6908,2659,興安里,文山區
,281,0.1238546603,784,6330,2195,興福里,文山區
,282,0.1141939922,996,8722,3417,興旺里,文山區
,283,0.1481751825,609,4110,1693,興泰里,文山區
,284,0.1395415065,980,7023,2793,興昌里,文山區
,285,0.136878453,991,7240,2796,試院里,文山區
,286,0.1404314396,1315,9364,3554,華興里,文山區
,287,0.1101857783,516,4683,1716,明義里,文山區
,288,0.1237486096,890,7192,2791,明興里,文山區
,289,0.1586528049,1465,9234,3543,木柵里,文山區
,290,0.1403225806,1479,10540,4383,木新里,文山區
,291,0.119076999,965,8104,2887,順興里,文山區
,292,0.1555480683,1385,8904,3222,樟林里,文山區
,293,0.115099427,683,5934,2163,樟新里,文山區
,294,0.1180072824,713,6042,2116,樟腳里,文山區
,295,0.1211577562,1013,8361,3168,萬芳里,文山區
,296,0.1422558923,845,5940,2228,博嘉里,文山區
,297,0.1224695224,1095,8941,3259,萬興里,文山區
,298,0.1308834634,520,3973,1693,指南里,文山區
,299,0.1352169526,134,991,368,老泉里,文山區
,300,0.1637663886,687,4195,1724,忠順里,文山區
,301,0.1381157716,1057,7653,2891,萬美里,文山區
,302,0.0843149411,680,8065,2944,政大里,文山區
,303,0.1330155313,865,6503,2309,樟文里,文山區
,304,0.1527750149,768,5027,2109,興邦里,文山區
,305,0.1292594708,679,5253,1861,樟樹里,文山區
,306,0.1370589126,905,6603,2725,南港里,南港區
,307,0.1329639889,528,3971,1505,中南里,南港區
,308,0.1381716678,594,4299,1582,新富里,南港區
,309,0.09811882528,725,7389,3353,三重里,南港區
,310,0.1288646402,992,7698,2778,東新里,南港區
,311,0.1558838512,612,3926,1498,新光里,南港區
,312,0.1359934853,668,4912,1882,東明里,南港區
,313,0.1261436636,648,5137,1888,西新里,南港區
,314,0.1377373111,711,5162,2026,玉成里,南港區
,315,0.1552795031,1125,7245,2820,合成里,南港區
,316,0.1376054388,1093,7943,2928,成福里,南港區
,317,0.1652076319,736,4455,1723,萬福里,南港區
,318,0.1466639124,710,4841,1754,鴻福里,南港區
,319,0.1351209253,771,5706,2133,百福里,南港區
,320,0.1582184122,849,5366,2000,聯成里,南港區
,321,0.1236912338,1205,9742,3536,舊莊里,南港區
,322,0.1326343648,1303,9824,3540,中研里,南港區
,323,0.1448784083,983,6785,2504,九如里,南港區
,324,0.1275614754,747,5856,2276,仁福里,南港區
,325,0.08617340632,488,5663,2358,重陽里,南港區
,326,0.1301487038,989,7599,2845,西湖里,內湖區
,327,0.1222784026,1185,9691,3780,西康里,內湖區
,328,0.123415416,847,6863,2581,西安里,內湖區
,329,0.1096525097,710,6475,2371,港墘里,內湖區
,330,0.1052543786,631,5995,2138,港都里,內湖區
,331,0.1213079127,1228,10123,3568,港富里,內湖區
,332,0.1008472825,976,9678,3292,港華里,內湖區
,333,0.1253528142,755,6023,2514,內湖里,內湖區
,334,0.1351823797,1160,8581,3236,湖濱里,內湖區
,335,0.1211395739,1012,8354,3021,紫星里,內湖區
,336,0.1068953569,617,5772,2186,大湖里,內湖區
,337,0.129177147,719,5566,2055,金龍里,內湖區
,338,0.1162296244,820,7055,2612,金瑞里,內湖區
,339,0.1115979734,815,7303,2645,碧山里,內湖區
,340,0.1353007579,839,6201,2292,紫雲里,內湖區
,341,0.1036369855,909,8771,3670,清白里,內湖區
,342,0.07791878173,614,7880,2723,葫洲里,內湖區
,343,0.1101373757,930,8444,3162,紫陽里,內湖區
,344,0.1524172715,1239,8129,3154,瑞陽里,內湖區
,345,0.130362349,626,4802,1762,瑞光里,內湖區
,346,0.07803565422,928,11892,4100,五分里,內湖區
,347,0.0779588944,660,8466,2994,東湖里,內湖區
,348,0.07492420961,692,9236,3182,樂康里,內湖區
,349,0.1,506,5060,1836,內溝里,內湖區
,350,0.124039653,1001,8070,3455,週美里,內湖區
,351,0.12135506,849,6996,2819,行善里,內湖區
,352,0.1162141588,458,3941,1910,石潭里,內湖區
,353,0.116672303,1035,8871,3994,湖興里,內湖區
,354,0.1142260143,656,5743,2104,湖元里,內湖區
,355,0.07915879017,670,8464,2748,安湖里,內湖區
,356,0.1368163015,893,6527,2452,秀湖里,內湖區
,357,0.09180158457,533,5806,2104,安泰里,內湖區
,358,0.08749165156,917,10481,3902,金湖里,內湖區
,359,0.08887290661,865,9733,3196,康寧里,內湖區
,360,0.0684263618,407,5948,1964,明湖里,內湖區
,361,0.09486447932,133,1402,505,蘆洲里,內湖區
,362,0.1059508816,673,6352,2297,麗山里,內湖區
,363,0.09412289506,844,8967,3760,寶湖里,內湖區
,364,0.06975617633,432,6193,2235,南湖里,內湖區
,365,0.166076069,703,4233,1555,仁勇里,士林區
,366,0.1498525074,508,3390,1351,義信里,士林區
,367,0.1896389325,604,3185,1245,福林里,士林區
,368,0.1831513769,1124,6137,2912,福德里,士林區
,369,0.1840645487,1460,7932,3033,福志里,士林區
,370,0.1864619242,1190,6382,2442,舊佳里,士林區
,371,0.1651742498,1365,8264,2994,福佳里,士林區
,372,0.1404442388,1214,8644,3090,後港里,士林區
,373,0.1243634414,928,7462,2624,福中里,士林區
,374,0.1219861054,597,4894,1760,前港里,士林區
,375,0.1331846214,1015,7621,2551,百齡里,士林區
,376,0.15661839,930,5938,2390,承德里,士林區
,377,0.148257531,1004,6772,2597,福華里,士林區
,378,0.17037179,889,5218,1962,明勝里,士林區
,379,0.154655726,867,5606,2108,福順里,士林區
,380,0.1446440026,902,6236,2147,富光里,士林區
,381,0.1404686356,1151,8194,2849,葫蘆里,士林區
,382,0.1422007811,619,4353,1588,葫東里,士林區
,383,0.1417345751,974,6872,2442,社子里,士林區
,384,0.1358560794,1314,9672,3464,社新里,士林區
,385,0.1316872428,1024,7776,2630,社園里,士林區
,386,0.143970894,1108,7696,2754,永倫里,士林區
,387,0.1370428628,697,5086,1850,福安里,士林區
,388,0.1348425197,822,6096,2394,富洲里,士林區
,389,0.1505286589,541,3594,1280,岩山里,士林區
,390,0.1566249176,1188,7585,2696,名山里,士林區
,391,0.1674994569,771,4603,1902,德行里,士林區
,392,0.166809532,973,5833,2226,德華里,士林區
,393,0.1580026085,848,5367,1955,聖山里,士林區
,394,0.1790311653,1057,5904,2186,忠誠里,士林區
,395,0.1316841579,1054,8004,2809,芝山里,士林區
,396,0.1491987475,810,5429,1815,東山里,士林區
,397,0.1495948136,923,6170,2174,三玉里,士林區
,398,0.1528188287,1396,9135,3323,蘭雅里,士林區
,399,0.1437308869,987,6867,2465,蘭興里,士林區
,400,0.1427274103,943,6607,2327,天福里,士林區
,401,0.1597676107,880,5508,1981,天祿里,士林區
,402,0.1570759138,838,5335,1963,天壽里,士林區
,403,0.141032002,1137,8062,2769,天和里,士林區
,404,0.1629076087,1199,7360,2713,天山里,士林區
,405,0.1511021191,1419,9391,3497,天玉里,士林區
,406,0.1594305047,1131,7094,2583,天母里,士林區
,407,0.2275172944,296,1301,462,永福里,士林區
,408,0.1803051318,260,1442,537,公館里,士林區
,409,0.2221677293,453,2039,769,新安里,士林區
,410,0.22912,716,3125,1405,陽明里,士林區
,411,0.1674528302,284,1696,582,菁山里,士林區
,412,0.1776061776,276,1554,533,平等里,士林區
,413,0.1929365598,295,1529,555,溪山里,士林區
,414,0.2313839448,637,2753,1190,翠山里,士林區
,415,0.2006546645,613,3055,1200,臨溪里,士林區
,416,0.1762589928,784,4448,1720,建民里,北投區
,417,0.1702906844,744,4369,1670,文林里,北投區
,418,0.1531194296,859,5610,2096,石牌里,北投區
,419,0.1235023041,938,7595,2701,福興里,北投區
,420,0.1336603311,1090,8155,2810,榮光里,北投區
,421,0.1604038855,1255,7824,2967,榮華里,北投區
,422,0.1468298109,1188,8091,3095,裕民里,北投區
,423,0.168044417,1362,8105,2911,振華里,北投區
,424,0.1397563223,1365,9767,3711,永和里,北投區
,425,0.1481436691,1225,8269,3428,永欣里,北投區
,426,0.1326762699,700,5276,1885,永明里,北投區
,427,0.1431012388,670,4682,1613,東華里,北投區
,428,0.1272298006,970,7624,2581,吉利里,北投區
,429,0.1320327469,758,5741,1977,吉慶里,北投區
,430,0.1411126187,728,5159,1783,尊賢里,北投區
,431,0.1255892256,746,5940,2061,立賢里,北投區
,432,0.1155825443,1123,9716,3421,立農里,北投區
,433,0.1350327248,784,5806,2173,八仙里,北投區
,434,0.1419501134,313,2205,847,洲美里,北投區
,435,0.1428851239,1459,10211,3755,奇岩里,北投區
,436,0.147701964,1459,9878,4233,清江里,北投區
,437,0.1317299206,1194,9064,3408,中央里,北投區
,438,0.1439240703,925,6427,2644,長安里,北投區
,439,0.1384021861,861,6221,2375,大同里,北投區
,440,0.1550265309,1081,6973,2789,溫泉里,北投區
,441,0.1582582583,527,3330,1478,林泉里,北投區
,442,0.1486183719,995,6695,3052,中心里,北投區
,443,0.1587860128,722,4547,1760,中庸里,北投區
,444,0.1556043956,1062,6825,2586,開明里,北投區
,445,0.1687892036,888,5261,1975,中和里,北投區
,446,0.1362889984,913,6699,2334,智仁里,北投區
,447,0.179368299,619,3451,1240,秀山里,北投區
,448,0.1362835755,619,4542,1673,文化里,北投區
,449,0.1324908276,650,4906,1702,豐年里,北投區
,450,0.1511669659,842,5570,2176,稻香里,北投區
,451,0.1204570703,759,6301,2322,桃源里,北投區
,452,0.116966581,910,7780,2805,一德里,北投區
,453,0.1448124366,1714,11836,4191,關渡里,北投區
,454,0.1737340469,422,2429,848,泉源里,北投區
,455,0.2194304858,393,1791,703,湖山里,北投區
,456,0.1789976134,225,1257,433,大屯里,北投區
,457,0.1745098039,178,1020,386,湖田里,北投區
,1,,old_population,人口數,戶數,村里,區域別
,458,,0,,,,
,459,,0,,,,
